"","movie_name","rating","types","year","duration","audience_rating","expert_rating"
"14300","TEEN WITCH","PG-13","Comedy, Drama, Science Fiction & Fantasy","1989","1h45m","44","74"
"14301","TEEN WOLF","PG","Comedy, Science Fiction & Fantasy","1985","1h28m","42","52"
"14302","TEENAGE PAPARAZZO","NR","Documentary, Special Interest","2010","1h34m","100","94"
"14303","TEENAGE","NR","Documentary, Special Interest","2014","1h20m","77","49"
"14304","TEENAGE BADASS","NR","Comedy",NA,"","67","100"
"14305","TEENAGE COCKTAIL","NR","Drama",NA,"1h28m","100","51"
"14306","TEENAGE MUTANT NINJA TURTLES","PG-13","Action & Adventure, Science Fiction & Fantasy","2014","1h41m","21","50"
"14307","TEENAGE MUTANT NINJA TURTLES II - THE SECRET OF THE OOZE","PG","Action & Adventure, Comedy, Kids & Family","1991","1h28m","35","67"
"14308","TEENAGE MUTANT NINJA TURTLES III","PG","Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy","1993","1h35m","23","34"
"14309","TEENAGE MUTANT NINJA TURTLES: OUT OF THE SHADOWS","PG-13","Action & Adventure, Comedy, Science Fiction & Fantasy","2016","1h47m","37","47"
"14310","TEENAGE MUTANT NINJA TURTLES: THE MOVIE","PG","Action & Adventure, Kids & Family, Science Fiction & Fantasy","1990","1h33m","40","81"
"14311","TEES MAAR KHAN","NR","Action & Adventure","2010","2h15m","11","18"
"14312","TEETH","R","Comedy, Horror","2007","1h34m","80","45"
"14313","TEHRAN TABOO","NR","Animation, Art House & International, Drama","2018","1h36m","97","81"
"14314","TEKKEN","R","Action & Adventure, Animation, Art House & International, Drama, Science Fiction & Fantasy","2009","1h32m","0","31"
"14315","TEKKONKINKREET (TEKKON KINKURÎTO)","R","Action & Adventure, Animation, Anime & Manga, Science Fiction & Fantasy","2007","1h51m","75","88"
"14316","TEKNOLUST","R","Comedy, Drama, Science Fiction & Fantasy","2002","1h24m","30","39"
"14317","TEL AVIV ON FIRE","NR","Art House & International, Comedy, Drama","2019","1h37m","90","86"
"14318","TELL IT TO THE BEES","NR","Drama, Romance","2019","1h46m","53","64"
"14319","TELL ME THAT YOU LOVE ME, JUNIE MOON","PG","Comedy, Drama, Romance","1970","1h52m","22","9"
"14320","TELL ME WHO I AM","NR","Documentary, Mystery & Suspense","2019","1h25m","97","88"
"14321","TELLING LIES IN AMERICA","PG-13","Comedy, Drama","1997","1h41m","61","45"
"14322","TELSTAR (TELSTAR: THE JOE MEEK STORY)","R","Art House & International, Comedy, Drama, Musical & Performing Arts","2009","1h59m","81","69"
"14323","THE TEMP","R","Drama, Mystery & Suspense","1993","1h35m","29","16"
"14324","THE TEMPEST","PG-13","Comedy, Drama, Science Fiction & Fantasy","2010","1h49m","30","28"
"14325","TEMPLE GRANDIN","PG","Drama, Television","2010","1h50m","100","94"
"14326","TEMPTATION","PG-13","Drama, Mystery & Suspense","2013","2h0m","17","66"
"14327","TEN THOUSAND SAINTS","R","Comedy, Drama","2015","1h46m","58","36"
"14328","10 TO MIDNIGHT","R","Action & Adventure, Drama, Mystery & Suspense","1983","1h41m","40","50"
"14329","TENACIOUS D IN THE PICK OF DESTINY","R","Comedy, Musical & Performing Arts","2006","1h37m","52","67"
"14330","THE TENANT","R","Classics, Horror, Mystery & Suspense","1976","2h5m","88","87"
"14331","TENDER MERCIES","PG","Drama","1983","1h30m","84","82"
