"","movie_name","rating","year","types","duration","audience_rating","expert_rating"
"29","WILLY'S WONDERLAND","","2021"," Horror/Action"," 1h 28m","68","60"
"30","MUSIC","PG-13","2021"," Musical/Drama"," 1h 47m","14","7"
"31","NOMADLAND","R","2020"," Drama"," 1h 48m","82","93"
"32","SILK ROAD","R","2021"," Mystery & thriller/Crime"," 1h 56m","39","52"
"33","LOCKED DOWN","R","2021"," Comedy/Romance"," 1h 58m","27","42"
"34","CRISIS","R","2021"," Mystery & thriller/Drama"," 1h 59m","62","66"
"35","THE FATHER","","1975"," Drama"," 1h 40m","",""
"36","TOM & JERRY","PG","2021"," Kids & family/Comedy"," 1h 41m","82","30"
"37","WRONG TURN","R","2021"," Horror/Mystery & thriller"," 1h 30m","46","65"
"38","BIGGIE: I GOT A STORY TO TELL","R","2021"," Documentary/Music"," 1h 37m","79","78"
"39","THE MAURITANIAN","R","2021"," Drama/Mystery & thriller"," 2h 9m","84","75"
"40","MOXIE","PG-13","2021"," Comedy/Drama"," 1h 51m","68","70"
"41","BOSS LEVEL","","2021"," Action/Mystery & thriller"," 1h 40m","76","73"
"42","CHAOS WALKING","PG-13","2021"," Sci-fi/Adventure"," 1h 49m","71","21"
"43","COMING 2 AMERICA","PG-13","2021"," Comedy"," 1h 49m","38","49"
"44","RAYA AND THE LAST DRAGON","PG","2021"," Kids & family/Fantasy"," 1h 48m","97","94"
"45","US AGAIN","G","2021"," Kids & family/Musical"," 6m","88",""
"46","STAY OUT OF THE ATTIC","","2020"," Horror"," 1h 22m","3","25"
"47","CHERRY","R","1999"," Romance/Comedy"," 1h 26m","50",""
"48","COSMIC SIN","R","2021"," Sci-fi/Action"," 1h 28m","55","6"
"49","HONEYDEW","","2020"," Horror/Mystery & thriller"," 1h 46m","38","65"
"50","YES DAY","PG","2021"," Comedy"," 1h 29m","42","51"
"51","SAS: RISE OF THE BLACK SWAN","R","2021"," Action"," 2h 3m","64","50"
"52","THE PARISH","","2019"," Horror/Mystery & thriller"," 1h 22m","","40"
"53","THE SPINE OF NIGHT","","2021"," Fantasy/Horror"," 1h 34m","58","81"
"54","LAST CALL","R","2021"," Comedy"," 1h 42m","73","0"
"55","WILDCAT","","1942"," Action"," 1h 10m","",""
"56","DONNY'S BAR MITZVAH","","2021"," Comedy"," 1h 19m","83","43"
"57","THE RUNAWAY BUNNY","","2021"," Animation/Kids & family"," 27m","",""
"58","A WEEK AWAY","","2021"," Musical/Romance"," 1h 37m","83","54"
"59","NOBODY","","2011"," Drama"," 11m","",""
"60","THE SEVENTH DAY","","2019"," Drama"," 20m","",""
"61","THE TOLL","R","2020"," Horror/Mystery & thriller"," 1h 20m","55","58"
"62","WITCH HUNT","R","2021"," Mystery & thriller/Horror"," 1h 38m","28","63"
"63","GODZILLA VS. KONG","PG-13","2021"," Sci-fi/Action"," 1h 53m","91","75"
"64","DAWN OF THE BEAST","","2021"," Horror"," 1h 20m","0",""
"65","THE UNHOLY","PG-13","2021"," Horror/Mystery & thriller"," 1h 39m","56","28"
"66","MAJOR GROM: PLAGUE DOCTOR","","2021"," Action"," 2h 16m","77",""
"67","VOYAGERS","PG-13","2021"," Sci-fi/Mystery & thriller"," 1h 48m","55","26"
"68","IN THE EARTH","R","2021"," Horror/Mystery & thriller"," 1h 40m","24","80"
"69","JAKOB'S WIFE","","2021"," Horror"," 1h 38m","63","85"
"70","TRIGGER POINT","","2015"," Drama/Mystery & thriller"," 1h 31m","",""
"71","STOWAWAY","","2021"," Sci-fi/Drama"," 1h 56m","46","76"
"72","MORTAL KOMBAT","R","2021"," Action/Adventure"," 1h 50m","86","54"
"73","JUSTICE SOCIETY: WORLD WAR II","PG-13","2021"," Action/Adventure"," 1h 24m","74","81"
"74","DYNASTY WARRIORS","","2021"," Action"," 1h 57m","48","27"
"75","TOM CLANCY'S WITHOUT REMORSE","R","2021"," Action/Mystery & thriller"," 1h 49m","38","45"
"76","22 VS. EARTH","","2021"," Animation/Fantasy"," 9m","53",""
"77","APE VS. MONSTER","","2021"," Sci-fi/Action"," 1h 30m","14",""
"78","CLIFF WALKERS","","2021"," Mystery & thriller/Crime"," 2h 0m","78","81"
"79","THE MITCHELLS VS. THE MACHINES","PG","2021"," Kids & family/Comedy"," 1h 54m","88","97"
"80","THE VIRTUOSO","R","2021"," Mystery & thriller/Crime"," 1h 50m","26","18"
"81","TRIUMPH","","1924"," Drama"," 1h 20m","",""
"82","TOM CLANCY'S WITHOUT REMORSE","R","2021"," Action/Mystery & thriller"," 1h 49m","38","45"
"83","WRATH OF MAN","R","2021"," Action/Mystery & thriller"," 1h 59m","90","67"
"84","LONG LIVE ROCK... CELEBRATE THE CHAOS","","2021"," Music/Documentary"," 1h 19m","73","33"
"85","OXYGEN","","2021"," Mystery & thriller/Sci-fi"," 1h 41m","74","88"
"86","SPIRAL: FROM THE BOOK OF SAW","R","2021"," Horror/Mystery & thriller"," 1h 33m","75","37"
"87","THOSE WHO WISH ME DEAD","R","2021"," Action/Mystery & thriller"," 1h 40m","86","62"
"88","ARMY OF THE DEAD","","2008"," Horror/Action"," 1h 29m","14",""
"89","SEANCE","R","2021"," Horror"," 1h 33m","28","46"
"90","THE DRY","R","2021"," Crime/Drama"," 1h 58m","89","90"
"91","FRIENDS: THE REUNION","","2021"," Comedy"," 1h 44m","78","65"
"92","A QUIET PLACE PART II","PG-13","2021"," Horror/Mystery & thriller"," 1h 37m","92","91"
"93","AMERICAN TRAITOR: THE TRIAL OF AXIS SALLY","R","2021"," History/Drama"," 1h 49m","33","18"
"94","CRUELLA","PG-13","2021"," Comedy/Kids & family"," 2h 14m","97","75"
"95","THE CONJURING: THE DEVIL MADE ME DO IT","R","2021"," Horror/Mystery & thriller"," 1h 52m","83","55"
"96","FLASHBACK","R","2020"," Mystery & thriller/Drama"," 1h 38m","58","54"
